ForeFlight Logbook Import,,,,,,,,,,,,,

Aircraft Table,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
TC-JPG,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPH,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPI,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPJ,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPK,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPL,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPM,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPN,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPO,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPP,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPR,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPS,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPT,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPU,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPY,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JRA,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRB,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRC,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRD,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRE,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRF,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRG,,A321,,,A321,,,,,FALSE,FALSE,FALSE,
TC-JRH,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRI,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRJ,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRL,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRM,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRN,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRO,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRP,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRR,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
